iter	Logloss
158	0.2762730652
159	0.2755776875
160	0.2746987178
161	0.2736074198
162	0.2728549889
163	0.2723462882
164	0.2712199846
165	0.2699476393
166	0.2693006304
167	0.2684355625
168	0.2675055296
169	0.2664975464
170	0.265833024
171	0.2643826725
172	0.2636713987
173	0.26320909
174	0.2623168753
175	0.2610284354
176	0.260178924
177	0.2594567465
178	0.2587309546
179	0.2575658144
180	0.2568892348
181	0.2562340179
182	0.2554548108
183	0.2545720952
184	0.2534793532
185	0.2529208009
186	0.2524167071
187	0.2512948668
188	0.2506650399
189	0.2496152243
190	0.2492055338
191	0.2485150735
192	0.2477847588
193	0.2465376439
194	0.245667629
195	0.2448818042
196	0.2441767062
197	0.2435938821
198	0.2426165675
199	0.2417058702
200	0.241289587
201	0.240490779
202	0.2396988853
203	0.2389683426
204	0.2384320358
205	0.2377671373
206	0.2367611589
207	0.2362446761
208	0.2356489811
209	0.2345861904
210	0.2339366948
211	0.2334873888
212	0.2328907827
213	0.2322232762
214	0.2316355692
215	0.2310951925
216	0.2304216862
217	0.2295325625
218	0.2290368919
219	0.2284000302
220	0.2278207713
221	0.2272239879
222	0.2268118833
223	0.2263468258
224	0.2259543801
225	0.2253355333
226	0.2248769655
227	0.2245986418
228	0.2241030574
229	0.2231530955
230	0.2226202093
231	0.2217607376
232	0.2212022783
233	0.2207088527
234	0.2203540801
235	0.2196540813
236	0.2190097523
237	0.2183505416
238	0.2176696082
239	0.2171646336
240	0.2166135478
241	0.2161365493
242	0.2157760185
243	0.2150869591
244	0.2144303823
245	0.2140146914
246	0.2133080408
247	0.2129812929
248	0.2125502726
249	0.2120096679
250	0.2117469476
251	0.2112573509
252	0.2106445749
253	0.2101358835
254	0.20922076
255	0.2087937968
256	0.208026715
257	0.2076360659
258	0.2071459108
259	0.2066268495
260	0.2061044248
261	0.2053357142
262	0.2050243698
263	0.2046549132
264	0.2040889868
265	0.203482827
266	0.2031019618
267	0.2027889905
268	0.2021126962
269	0.2015590011
270	0.2009029266
271	0.2003678115
272	0.1998656953
273	0.1995500766
274	0.1988912195
275	0.1983975986
276	0.19795002
277	0.1977010959
278	0.19733858
279	0.1968880922
280	0.1964877962
281	0.1960199327
282	0.1957762876
283	0.19510495
284	0.1948053797
285	0.1941747212
286	0.1938202071
287	0.1934484305
288	0.1927381269
289	0.1923611233
290	0.1919528902
291	0.1913936552
292	0.1910955241
293	0.1905147867
294	0.1899328226
295	0.1895817321
296	0.1889915798
297	0.1885458476
298	0.1879412062
299	0.1874181123
300	0.186979897
301	0.1863306911
302	0.1859191634
303	0.1854338252
304	0.1850323852
305	0.1847871238
306	0.1844922546
307	0.1838927542
308	0.1834016996
309	0.1831611662
310	0.1826787428
311	0.1823779611
312	0.1818008236
313	0.1813701765
314	0.1808641771
315	0.1804879812
316	0.1801030518
317	0.179685081
318	0.1789935966
319	0.1784053608
320	0.1781507711
321	0.1776897955
322	0.1774241514
323	0.1769567903
324	0.1765524305
325	0.1760906932
326	0.1757967187
327	0.1753717705
328	0.1750383689
329	0.1742489168
330	0.1736845312
331	0.17333408
332	0.1729933378
333	0.1726229225
334	0.1722853303
335	0.1720369023
336	0.171556285
337	0.1712978976
338	0.1709480445
339	0.1705156358
340	0.1700643669
341	0.1696439772
342	0.1690861262
343	0.1687595698
344	0.1684478009
345	0.1680891
346	0.1677268463
347	0.1674642916
348	0.1671465594
349	0.1668915457
350	0.1666133424
351	0.1662013202
352	0.1658313602
353	0.1654616402
354	0.1651471442
355	0.1648002713
356	0.1643686935
357	0.1640155469
358	0.1637117195
359	0.1632246184
360	0.1628840318
361	0.1624845378
362	0.1623105377
363	0.1618746013
364	0.1613968904
365	0.1608191479
366	0.1605323153
367	0.1601961753
368	0.159871446
369	0.1595863137
370	0.1592651863
371	0.1587959617
372	0.158290347
373	0.1579435335
374	0.1575262949
375	0.1570682553
376	0.1567775219
377	0.1563512975
378	0.1559971299
379	0.1557023808
380	0.1552278022
381	0.1549774416
382	0.1546703212
383	0.1542472838
384	0.1539829863
385	0.1538365414
386	0.1533780861
387	0.1530572333
388	0.1528285234
389	0.1522296122
390	0.151883273
391	0.1515875004
392	0.1513782198
393	0.1511403577
394	0.1507721726
395	0.1505346548
396	0.1501562774
397	0.1499190178
398	0.1496262556
399	0.1491570999
400	0.1489060932
401	0.1483112031
402	0.1480469176
403	0.1476602248
404	0.1474543453
405	0.1471232871
406	0.146806856
407	0.1465726028
408	0.1462454192
409	0.1460118789
410	0.1455201017
411	0.1452523032
412	0.1449537767
413	0.1445161936
414	0.1441291919
415	0.1437294707
416	0.1433863275
417	0.1430844112
418	0.1428875366
419	0.1426740709
420	0.1423646844
421	0.1419833669
422	0.1417125476
423	0.1413413318
424	0.1410368693
425	0.140867961
426	0.1405540791
427	0.1402594643
428	0.1400591852
429	0.1397993741
430	0.1394524567
431	0.1391735664
432	0.1388355822
433	0.1384575688
434	0.1381395943
435	0.1379098936
436	0.1377348798
437	0.1375904351
438	0.1373265005
439	0.1370575444
440	0.1366996021
441	0.136548213
442	0.1361921386
443	0.1358434323
444	0.1355344132
445	0.1351858942
446	0.1349257976
447	0.134646873
448	0.1343821926
449	0.1341650864
450	0.1338639192
451	0.1336004142
452	0.1333372138
453	0.1330502342
454	0.1328576352
455	0.1325601044
456	0.1323689711
457	0.1321550389
458	0.1318748952
459	0.1316484695
460	0.1314366824
461	0.1311166729
462	0.1308661108
463	0.1306619799
464	0.1303107393
465	0.1300611231
466	0.1298240452
467	0.1296179423
468	0.1292987351
469	0.1289272083
470	0.1286395351
471	0.1281796754
472	0.1279394973
473	0.1275003277
474	0.1272886927
475	0.127052034
476	0.1267102433
477	0.126530216
478	0.1262307728
479	0.1258949587
480	0.1256665481
481	0.1252590129
482	0.1249945187
483	0.124725652
484	0.1245346044
485	0.124247838
486	0.1239336497
487	0.1238108545
488	0.1235111914
489	0.1231280718
490	0.1229547702
491	0.1227810006
492	0.1223466561
493	0.1220783766
494	0.121887227
495	0.1215965583
496	0.1213829123
497	0.121227237
498	0.1209428325
499	0.1206713685
