iter	Passed	Remaining
406	6306	9189
407	6321	9172
408	6337	9157
409	6352	9141
410	6367	9125
411	6382	9108
412	6396	9091
413	6411	9075
414	6427	9060
415	6445	9048
416	6460	9032
417	6475	9015
418	6491	9001
419	6505	8983
420	6521	8969
421	6536	8952
422	6552	8938
423	6568	8923
424	6585	8909
425	6600	8893
426	6614	8876
427	6630	8861
428	6646	8847
429	6661	8830
430	6677	8815
431	6692	8798
432	6707	8783
433	6723	8768
434	6739	8753
435	6755	8738
436	6770	8723
437	6786	8707
438	6800	8690
439	6815	8674
440	6831	8659
441	6846	8642
442	6861	8627
443	6878	8613
444	6893	8597
445	6907	8580
446	6924	8567
447	6941	8553
448	6956	8537
449	6973	8523
450	6988	8507
451	7003	8491
452	7019	8476
453	7034	8460
454	7051	8445
455	7066	8429
456	7081	8414
457	7097	8398
458	7111	8382
459	7126	8365
460	7141	8349
461	7157	8335
462	7172	8318
463	7188	8304
464	7203	8288
465	7218	8272
466	7234	8257
467	7250	8241
468	7265	8225
469	7280	8209
470	7295	8194
471	7311	8178
472	7325	8162
473	7340	8145
474	7355	8129
475	7370	8113
476	7386	8099
477	7402	8083
478	7417	8068
479	7433	8052
480	7448	8037
481	7464	8022
482	7480	8007
483	7495	7991
484	7511	7976
485	7527	7960
486	7542	7945
487	7557	7928
488	7573	7914
489	7588	7898
490	7604	7882
491	7619	7867
492	7634	7851
493	7648	7834
494	7664	7819
495	7679	7803
496	7694	7787
497	7710	7772
498	7725	7756
499	7740	7740
500	7756	7725
501	7772	7710
502	7786	7693
503	7800	7676
504	7816	7662
505	7831	7645
506	7846	7629
507	7862	7614
508	7877	7598
509	7891	7582
510	7906	7566
511	7923	7552
512	7938	7536
513	7953	7520
514	7968	7504
515	7983	7488
516	7999	7473
517	8015	7458
518	8031	7443
519	8046	7427
520	8061	7411
521	8076	7395
522	8091	7379
523	8106	7363
524	8122	7348
525	8136	7332
526	8151	7316
527	8167	7301
528	8182	7285
529	8201	7272
530	8215	7256
531	8230	7240
532	8245	7224
533	8261	7209
534	8277	7194
535	8292	7178
536	8307	7162
537	8321	7146
538	8337	7131
539	8352	7115
540	8368	7100
541	8383	7084
542	8398	7068
543	8414	7052
544	8430	7038
545	8444	7021
546	8460	7006
547	8475	6990
548	8491	6975
549	8507	6961
550	8524	6946
551	8539	6930
552	8554	6914
553	8578	6906
554	8593	6890
555	8609	6875
556	8624	6859
557	8639	6843
558	8655	6828
559	8670	6812
560	8686	6797
561	8701	6781
562	8716	6765
563	8730	6749
564	8745	6733
565	8776	6729
566	8803	6722
567	8819	6707
568	8833	6690
569	8849	6675
570	8863	6659
571	8878	6643
572	8894	6628
573	8910	6613
574	8927	6598
575	8943	6583
576	8958	6567
577	8973	6551
578	8989	6536
579	9005	6521
580	9020	6505
581	9036	6489
582	9051	6474
583	9067	6458
584	9083	6443
585	9097	6427
586	9112	6411
587	9128	6395
588	9142	6379
589	9158	6364
590	9174	6349
591	9189	6333
592	9203	6316
593	9218	6300
594	9233	6285
595	9248	6269
596	9264	6253
597	9279	6238
598	9295	6222
599	9310	6206
600	9324	6190
601	9339	6174
602	9354	6159
603	9370	6143
604	9385	6127
605	9400	6112
606	9416	6096
607	9431	6080
608	9446	6065
609	9463	6050
610	9479	6034
611	9498	6021
612	9513	6006
613	9528	5990
614	9544	5975
615	9560	5959
616	9576	5944
617	9590	5928
618	9606	5912
619	9621	5896
620	9637	5881
621	9651	5865
622	9666	5849
623	9680	5833
624	9697	5818
625	9713	5803
626	9727	5786
627	9741	5770
628	9755	5753
629	9769	5737
630	9784	5721
631	9799	5706
632	9815	5690
633	9830	5674
634	9845	5658
635	9860	5643
636	9874	5627
637	9890	5612
638	9906	5596
639	9921	5581
640	9937	5565
641	9952	5549
642	9967	5533
643	9982	5518
644	9997	5502
645	10014	5487
646	10029	5472
647	10044	5456
648	10060	5440
649	10074	5424
650	10089	5409
651	10105	5393
652	10120	5377
653	10136	5362
654	10152	5347
655	10166	5331
656	10183	5316
657	10198	5300
658	10213	5285
659	10229	5269
660	10244	5253
661	10259	5238
662	10273	5221
663	10288	5206
664	10303	5190
665	10320	5175
666	10335	5159
667	10350	5144
668	10365	5128
669	10382	5114
670	10398	5098
671	10412	5082
672	10443	5074
673	10459	5059
674	10474	5043
675	10490	5027
676	10506	5012
677	10521	4997
678	10537	4981
679	10551	4965
680	10566	4949
681	10580	4933
682	10595	4917
683	10609	4901
684	10623	4885
685	10640	4870
686	10655	4854
687	10671	4839
688	10686	4823
689	10700	4807
690	10715	4791
691	10730	4776
692	10746	4760
693	10762	4745
694	10777	4729
695	10793	4714
696	10809	4699
697	10824	4683
698	10839	4667
699	10855	4652
700	10870	4636
701	10885	4620
702	10902	4606
703	10918	4590
704	10934	4575
705	10951	4560
706	10966	4544
707	10982	4529
708	10999	4514
709	11014	4498
710	11027	4482
711	11043	4466
712	11058	4451
713	11074	4436
714	11091	4421
715	11107	4405
716	11121	4389
717	11136	4374
718	11151	4358
719	11166	4342
720	11182	4327
721	11198	4311
722	11212	4295
723	11229	4280
724	11245	4265
725	11261	4250
726	11275	4234
727	11290	4218
728	11304	4202
729	11319	4186
730	11334	4170
731	11350	4155
732	11366	4140
733	11381	4124
734	11397	4109
735	11411	4093
736	11426	4077
737	11442	4062
738	11456	4046
739	11472	4030
740	11489	4015
741	11505	4000
742	11521	3985
743	11536	3969
744	11552	3954
745	11568	3938
746	11583	3923
747	11599	3907
748	11614	3892
749	11633	3877
750	11650	3862
751	11665	3847
752	11680	3831
753	11696	3815
754	11710	3800
755	11726	3784
756	11740	3768
757	11755	3752
758	11769	3737
759	11786	3721
760	11801	3706
761	11816	3690
762	11831	3675
763	11846	3659
764	11860	3643
765	11876	3628
766	11893	3612
767	11908	3597
768	11924	3581
769	11939	3566
770	11954	3550
771	11969	3534
772	11984	3519
773	12000	3504
774	12017	3489
775	12033	3473
776	12047	3457
777	12062	3442
778	12078	3426
779	12093	3410
780	12107	3395
781	12122	3379
782	12137	3363
783	12152	3348
784	12168	3332
785	12181	3316
786	12197	3301
787	12213	3285
788	12228	3270
789	12244	3254
790	12261	3239
791	12276	3224
792	12291	3208
793	12306	3192
794	12321	3177
795	12337	3161
796	12352	3146
797	12365	3130
798	12382	3114
799	12397	3099
800	12412	3083
801	12428	3068
802	12444	3052
803	12459	3037
804	12476	3022
805	12493	3007
806	12508	2991
807	12525	2976
808	12540	2960
809	12555	2945
810	12570	2929
811	12585	2913
812	12601	2898
813	12618	2883
814	12634	2867
815	12651	2852
816	12666	2837
817	12682	2821
818	12697	2806
819	12711	2790
820	12727	2774
821	12741	2759
822	12757	2743
823	12773	2728
824	12786	2712
825	12802	2696
826	12816	2681
827	12831	2665
828	12849	2650
829	12865	2635
830	12883	2620
831	12898	2604
832	12913	2588
833	12929	2573
834	12945	2558
835	12961	2542
836	12976	2527
837	12992	2511
838	13007	2496
839	13023	2480
840	13038	2465
841	13054	2449
842	13069	2434
843	13084	2418
844	13100	2402
845	13115	2387
846	13130	2371
847	13146	2356
848	13162	2341
849	13177	2325
850	13192	2309
851	13208	2294
852	13225	2279
853	13240	2263
854	13254	2247
855	13271	2232
856	13286	2217
857	13302	2201
858	13317	2186
859	13332	2170
860	13346	2154
861	13363	2139
862	13377	2123
863	13393	2108
864	13409	2092
865	13424	2077
866	13439	2061
867	13454	2046
868	13471	2030
869	13487	2015
870	13504	2000
871	13523	1985
872	13538	1969
873	13553	1953
874	13569	1938
875	13586	1923
876	13601	1907
877	13616	1892
878	13631	1876
879	13645	1860
880	13660	1845
881	13677	1829
882	13692	1814
883	13707	1798
884	13723	1783
885	13737	1767
886	13752	1751
887	13766	1736
888	13782	1720
889	13797	1705
890	13812	1689
891	13827	1674
892	13842	1658
893	13857	1643
894	13874	1627
895	13892	1612
896	13907	1596
897	13923	1581
898	13939	1566
899	13954	1550
900	13970	1535
901	13985	1519
902	14002	1504
903	14019	1488
904	14034	1473
905	14048	1457
906	14064	1442
907	14079	1426
908	14094	1411
909	14110	1395
910	14125	1380
911	14141	1364
912	14156	1348
913	14171	1333
914	14185	1317
915	14202	1302
916	14217	1286
917	14232	1271
918	14247	1255
919	14263	1240
920	14279	1224
921	14296	1209
922	14312	1193
923	14327	1178
924	14342	1162
925	14357	1147
926	14372	1131
927	14386	1116
928	14401	1100
929	14418	1085
930	14432	1069
931	14447	1054
932	14462	1038
933	14479	1023
934	14494	1007
935	14509	992
936	14524	976
937	14538	960
938	14553	945
939	14568	929
