iter	Logloss
0	0.5497068487
1	0.4470667291
2	0.3662697165
3	0.3089562965
4	0.270150174
5	0.2390179195
6	0.2177508002
7	0.2019643112
8	0.1891913522
9	0.1801865776
10	0.1728207268
11	0.1676282363
12	0.1628416437
13	0.1598481359
14	0.1570066351
15	0.1547794233
16	0.1534475851
17	0.1522549807
18	0.1512444657
19	0.1503978457
20	0.1498115555
21	0.1489115017
22	0.1482408769
23	0.1478056779
24	0.1474759007
25	0.1470990157
26	0.1466755234
27	0.146445314
28	0.1460785884
29	0.1458216763
30	0.145640479
31	0.1455100575
32	0.1453041746
33	0.1451443962
34	0.1449979254
35	0.1448446847
36	0.1447146887
37	0.1446348174
38	0.1444666748
39	0.1443144196
40	0.1441668316
41	0.1440776368
42	0.1439760472
43	0.1438825911
44	0.1438037639
45	0.1437096755
46	0.1436293994
47	0.1435563854
48	0.1434964292
49	0.1434234835
50	0.1433205709
51	0.1432183378
52	0.1431449178
53	0.1430919653
54	0.1429966714
55	0.1429224694
56	0.142846188
57	0.1427623214
58	0.1427003433
59	0.1426368386
60	0.1425920204
61	0.1425026319
62	0.1424437456
63	0.1423650864
64	0.1423203559
65	0.142281543
66	0.1422210147
67	0.1421555853
68	0.1421244498
69	0.142039313
70	0.1419679362
71	0.1419291506
72	0.1418790169
73	0.1418270643
74	0.1417936367
75	0.1417505296
76	0.1417016881
77	0.1416752697
78	0.1416236091
79	0.1415881048
80	0.1415282832
81	0.1414993872
82	0.141463101
83	0.1414283835
84	0.1413712503
85	0.1413203609
86	0.1412612469
87	0.1412163796
88	0.1411865696
89	0.141133063
90	0.1410967227
91	0.1410499424
92	0.1410050913
93	0.1409511084
94	0.1409011638
95	0.140850078
96	0.1408058621
97	0.1407526897
98	0.1406996943
99	0.1406554445
100	0.1406221279
101	0.1405845163
102	0.1405389817
103	0.1405174038
104	0.1404749252
105	0.140433872
106	0.1403920134
107	0.1403616416
108	0.1403149376
109	0.1402628341
110	0.1402188971
111	0.1401862307
112	0.1401480643
113	0.1401005336
114	0.14007511
115	0.1400042734
116	0.1399741636
117	0.1399128021
118	0.139866065
119	0.1398180801
120	0.139774468
121	0.1397305297
122	0.1396857427
123	0.1396458348
124	0.1395891113
125	0.1395546266
126	0.1395202687
127	0.1394862806
128	0.1394444887
129	0.1393982826
130	0.139370387
131	0.1393343235
132	0.1392932603
133	0.1392544253
134	0.1392260119
135	0.1391775599
136	0.1391544996
137	0.1391117395
138	0.1390762309
139	0.1390515289
140	0.1390244768
141	0.1389907898
142	0.1389449636
143	0.1389231812
144	0.1388787945
145	0.1388387661
146	0.1387875012
147	0.1387456718
148	0.1386957146
149	0.1386683334
150	0.1386239813
151	0.1385769261
152	0.1385421344
153	0.1384998369
154	0.1384559069
155	0.1384179348
156	0.1383823405
157	0.1383387989
158	0.1382834714
159	0.1382347523
160	0.1382125829
161	0.1381728553
162	0.1381276346
163	0.1380880432
164	0.1380470027
165	0.13801279
166	0.1379819084
167	0.1379357217
168	0.1379201076
169	0.1378914541
170	0.1378756044
171	0.137831744
172	0.1377946757
173	0.1377536741
174	0.1377201467
175	0.137703844
176	0.1376541195
177	0.1376149144
178	0.1375765957
179	0.1375380233
180	0.1375042791
